YEAR,MONTH,MEAN,MIN,MAX,yearly,MIN,MAX,UHII MONTHLY,UHII YEARLY,YEAR,11,MEAN,MIN,MAX,yearly,MIN,MAX
,July,36.61,34.27,40.03,,,,1.53,,,July,35.08,30.77,39.01,,,
,August,33.96,29.99,36.66,,,,1.77,,,August,32.19,29.51,35.4,,,
,September,32.22,29.13,34.7,,,,1.64,,,September,30.58,25.12,33.94,,,
,October,32.17,30,33.47,,,,0.75,,,October,31.42,28.85,33.85,,,
,November,28.52,25.83,29.86,,,,0.05,,,November,28.47,25.68,30.33,,,
,December,23.58,21.82,27.49,,,,0.05,,,December,23.53,21.21,26.79,,,
2012,January,19.9,18.6,21.98,31.05166667,28.58,33.18,0.99,0.74,2012,January,18.95,17.65,20.74,30.3125,27.38,33.02
,February,23.5,21,25.47,,,,1.48,,,February,22.01,20.16,24.98,,,
,March,31.7,,,,,,0.75,,,March,30.97,,,,,
,April,38.2,35.94,39.74,,,,0.52,,,April,37.71,33.92,40.92,,,
,May,41,39.14,42.94,,,,0.47,,,May,40.53,34.49,43.51,,,
,June,38.7,35.96,42.88,,,,-0.52,,,June,39.26,33.83,43.58,,,
,July,33,31.49,34.03,,,,0.81,,,July,32.21,33.03,33.07,,,
,August,30.9,26.51,34.67,,,,1.33,,,August,29.57,26.35,33.09,,,
,September,33,30.1,35.8,,,,1.77,,,September,31.24,28.63,34.66,,,
,October,31.7,29.47,33.16,,,,0.75,,,October,30.97,28.43,33.49,,,
,November,27.2,25.26,28.38,,,,0.2,,,November,27.04,24.76,28.58,,,
,December,23.6,20.95,25.9,,,,0.32,,,December,23.29,19.98,26.64,,,
2013,January,20.9,18.92,22.87,31.15416667,28.31,33.74,1.02,0.94,2013,January,19.9,18.12,22.09,30.21833333,27.33,32.9
,February,25.2,22.94,27.07,,,,1.76,,,February,23.46,22.16,25.76,,,
,March,33.3,30.86,34.93,,,,1.67,,,March,31.61,29.46,34.18,,,
,April,38.6,36.38,40.39,,,,0.72,,,April,37.86,34.31,39.93,,,
,May,38.6,36.33,41.43,,,,0.13,,,May,38.45,36.37,42.83,,,
,June,33.8,30.16,35.69,,,,1.45,,,June,32.31,28.97,34.93,,,
,July,35.9,31.11,41.29,,,,0.03,,,July,35.85,31.28,37.91,,,
,August,33.6,29.4,37.13,,,,1.76,,,August,31.86,25.95,34.92,,,
,September,31.9,28.34,35.15,,,,1.68,,,September,30.22,27.34,34.8,,,
,October,31.3,28.75,33.46,,,,0.92,,,October,30.35,28.04,32.56,,,
,November,27.6,25.78,28.68,,,,0.07,,,November,27.55,25.46,28.85,,,
,December,23.2,20.78,26.83,,,,0.02,,,December,23.2,20.5,26.01,,,
2014,January,20.6,15.12,22.81,31.4025,28.18,33.68,0.43,0.88,2014,January,20.12,15.29,22.57,30.52,27.44,33.59
,February,24.1,21.65,26.08,,,,1.22,,,February,22.92,21.24,25.6,,,
,March,33.2,30.64,34.72,,,,1.76,,,March,31.41,29.29,34.56,,,
,April,39.5,37.28,41.06,,,,0.57,,,April,38.89,35.09,42.15,,,
,May,40.6,38.53,42.19,,,,0.18,,,May,40.41,35,41.15,,,
,June,39.5,36.68,44.65,,,,-0.43,,,June,39.92,35.22,47.6,,,
